Horizon_Hours,MAPE_percent
0.5,0.40398620513281
1,0.58980995657133
1.5,0.607516504414658
2,0.620378720373211
2.5,0.629479973473359
3,0.635974354833602
3.5,0.640777693950776
4,0.643915067511378
4.5,0.645508201583106
5,0.646642066902904
5.5,0.648273234038268
6,0.648677858082325
6.5,0.647926241904495
7,0.647195408235204
7.5,0.647719195236707
8,0.64869086568412
8.5,0.64920242052061
9,0.65071656918274
9.5,0.651381577504595
10,0.65171504815508
10.5,0.651446321984098
11,0.65174461751952
11.5,0.651685397941872
12,0.652407623187985
12.5,0.652810231802584
13,0.653515741917928
13.5,0.654296355460647
14,0.65547892653162
14.5,0.656666868738882
15,0.657867998229082
15.5,0.658865578397449
16,0.659959953840545
16.5,0.661402410454135
17,0.661668773295292
17.5,0.661903233935817
18,0.661509937910551
18.5,0.661113764887035
19,0.659972545402863
19.5,0.659604344700605
20,0.659788455003391
20.5,0.659262747635422
21,0.659209475677894
21.5,0.660576524444918
22,0.663500307218724
22.5,0.667291033343548
23,0.672630609067522
23.5,0.680380435102648
24,0.692160437236987
