time,temperature_2m,relative_humidity_2m,windspeed_10m
2023-03-31T00:00,10.7,91,17.6
2023-03-31T01:00,11,90,20.5
2023-03-31T02:00,10.6,90,20.5
2023-03-31T03:00,10.7,91,20.9
2023-03-31T04:00,10.8,91,20.9
2023-03-31T05:00,10.7,88,23
2023-03-31T06:00,10.5,87,24.1
2023-03-31T07:00,10.2,89,21.2
2023-03-31T08:00,10.3,90,20.5
2023-03-31T09:00,10.4,92,20.2
2023-03-31T10:00,10.6,90,22.3
2023-03-31T11:00,10.9,88,23.4
2023-03-31T12:00,11.1,91,24.5
2023-03-31T13:00,11.4,90,22.7
2023-03-31T14:00,12.2,83,17.6
2023-03-31T15:00,11.7,83,22.3
2023-03-31T16:00,11.3,88,22.7
2023-03-31T17:00,11.2,88,21.6
2023-03-31T18:00,10.8,87,20.5
2023-03-31T19:00,10.6,90,20.2
2023-03-31T20:00,10.7,92,18.7
2023-03-31T21:00,10.7,94,14.8
2023-03-31T22:00,10.7,92,13.7
2023-03-31T23:00,10.2,93,14
2023-04-01T00:00,10.4,89,14.8
2023-04-01T01:00,10.3,90,13.3
2023-04-01T02:00,10.2,88,12.6
2023-04-01T03:00,9.9,87,14.8
2023-04-01T04:00,9.6,87,13
2023-04-01T05:00,9.2,87,11.9
2023-04-01T06:00,8.9,85,11.2
2023-04-01T07:00,8.7,86,10.4
2023-04-01T08:00,8.7,85,10.4
2023-04-01T09:00,8.8,85,12.2
2023-04-01T10:00,8.9,83,10.1
2023-04-01T11:00,9,83,13
2023-04-01T12:00,9.3,79,11.5
2023-04-01T13:00,10,75,11.9
2023-04-01T14:00,10.3,72,12.2
2023-04-01T15:00,10.7,70,14
2023-04-01T16:00,10.3,72,12.2
2023-04-01T17:00,9.9,76,15.5
2023-04-01T18:00,9.7,72,15.5
2023-04-01T19:00,9.9,70,16.6
2023-04-01T20:00,9.3,77,15.8
2023-04-01T21:00,8.7,82,15.8
2023-04-01T22:00,8.3,81,15.5
2023-04-01T23:00,8.2,79,15.8
2023-04-02T00:00,8,80,15.5
2023-04-02T01:00,7.5,85,15.5
2023-04-02T02:00,7.4,84,15.1
2023-04-02T03:00,7.4,86,14
2023-04-02T04:00,7.4,86,14
2023-04-02T05:00,7.1,88,14.4
2023-04-02T06:00,7.1,83,17.3
2023-04-02T07:00,7,78,15.8
2023-04-02T08:00,7,75,15.1
2023-04-02T09:00,7.1,72,14.8
2023-04-02T10:00,7.2,72,13.3
2023-04-02T11:00,7.8,66,14
2023-04-02T12:00,8.1,64,12.6
2023-04-02T13:00,8.8,61,13
2023-04-02T14:00,9.6,56,9.4
2023-04-02T15:00,10.3,49,10.4
2023-04-02T16:00,11.1,45,11.2
2023-04-02T17:00,11.4,45,11.5
2023-04-02T18:00,11.2,44,14
2023-04-02T19:00,10.6,46,13.3
2023-04-02T20:00,9.4,50,11.9
2023-04-02T21:00,7.9,55,13.7
2023-04-02T22:00,6.7,60,15.1
2023-04-02T23:00,5.7,66,14
2023-04-03T00:00,4.9,70,14
2023-04-03T01:00,4.4,72,10.4
2023-04-03T02:00,3.9,75,9.4
2023-04-03T03:00,3.4,77,11.9
2023-04-03T04:00,2.9,81,10.4
2023-04-03T05:00,2.7,83,6.1
2023-04-03T06:00,3,82,6.5
2023-04-03T07:00,2.9,82,5.8
2023-04-03T08:00,3.7,80,5
2023-04-03T09:00,5.1,76,9.4
2023-04-03T10:00,6.7,72,8.3
2023-04-03T11:00,8.8,63,8.3
2023-04-03T12:00,9.5,58,9.4
2023-04-03T13:00,10.9,44,13
2023-04-03T14:00,11.4,43,14.8
2023-04-03T15:00,11.6,42,13.7
2023-04-03T16:00,11.7,42,13.7
2023-04-03T17:00,11.3,46,14
2023-04-03T18:00,10.7,45,15.5
2023-04-03T19:00,9.8,46,14
2023-04-03T20:00,8.3,52,15.5
2023-04-03T21:00,7,54,16.6
2023-04-03T22:00,6.6,55,11.5
2023-04-03T23:00,5.8,59,10.1
2023-04-04T00:00,5,64,10.1
2023-04-04T01:00,4.2,69,6.8
2023-04-04T02:00,3.3,74,5.8
2023-04-04T03:00,2.6,78,5.8
2023-04-04T04:00,2.6,80,7.6
2023-04-04T05:00,2.6,80,6.5
2023-04-04T06:00,1.9,83,6.5
2023-04-04T07:00,1.8,84,6.1
2023-04-04T08:00,2.7,81,4.7
2023-04-04T09:00,5.8,65,7.6
2023-04-04T10:00,7.7,58,10.8
2023-04-04T11:00,9.1,50,10.1
2023-04-04T12:00,10.3,45,9
2023-04-04T13:00,11.3,39,5
2023-04-04T14:00,12.3,37,4.7
2023-04-04T15:00,13.1,35,3.2
2023-04-04T16:00,13.5,34,3.6
2023-04-04T17:00,14.2,33,5
2023-04-04T18:00,14.4,34,6.8
2023-04-04T19:00,13.7,36,9
2023-04-04T20:00,11,49,13.7
2023-04-04T21:00,8.7,59,11.5
2023-04-04T22:00,8.3,62,6.8
2023-04-04T23:00,7.9,58,8.3
2023-04-05T00:00,6.7,63,9.7
2023-04-05T01:00,6.1,67,7.6
2023-04-05T02:00,5.8,69,7.9
2023-04-05T03:00,5.2,71,7.9
2023-04-05T04:00,5.2,71,6.8
2023-04-05T05:00,5.2,71,6.8
2023-04-05T06:00,5.1,72,6.8
2023-04-05T07:00,5.2,72,5.8
2023-04-05T08:00,5.8,71,3.6
2023-04-05T09:00,7,68,5
2023-04-05T10:00,8.6,61,8.6
2023-04-05T11:00,9.3,57,7.6
2023-04-05T12:00,10.8,51,6.1
2023-04-05T13:00,12.1,43,8.6
2023-04-05T14:00,12.9,43,8.3
2023-04-05T15:00,13.5,43,9
2023-04-05T16:00,13.3,44,8.6
2023-04-05T17:00,13.1,51,11.5
2023-04-05T18:00,12.3,57,11.2
2023-04-05T19:00,11.4,65,13.7
2023-04-05T20:00,10.5,76,11.2
2023-04-05T21:00,10.1,76,10.1
2023-04-05T22:00,9.8,86,11.5
2023-04-05T23:00,9.3,91,12.2
2023-04-06T00:00,9.2,94,12.2
2023-04-06T01:00,9.1,95,11.5
2023-04-06T02:00,9,96,11.9
2023-04-06T03:00,9.1,96,10.8
2023-04-06T04:00,9.1,96,11.5
2023-04-06T05:00,9.2,97,11.2
2023-04-06T06:00,9.5,97,9.4
2023-04-06T07:00,9.6,97,11.9
2023-04-06T08:00,10.1,95,10.8
2023-04-06T09:00,10.6,91,14.4
2023-04-06T10:00,11.1,85,13.7
2023-04-06T11:00,11.3,82,12.2
2023-04-06T12:00,12,75,14.4
2023-04-06T13:00,12.3,73,10.8
2023-04-06T14:00,13.6,53,13
2023-04-06T15:00,13.4,54,22
2023-04-06T16:00,12.5,60,16.9
2023-04-06T17:00,12.3,60,11.2
2023-04-06T18:00,11.4,71,19.1
2023-04-06T19:00,11.2,75,10.4
2023-04-06T20:00,10.3,76,9.4
2023-04-06T21:00,9.7,72,9.4
2023-04-06T22:00,8.9,75,8.6
2023-04-06T23:00,8.3,69,9.7
2023-04-07T00:00,7.7,69,12.2
2023-04-07T01:00,7.1,72,13.3
2023-04-07T02:00,6.7,75,8.3
2023-04-07T03:00,6.6,76,8.3
2023-04-07T04:00,6.4,78,9.4
2023-04-07T05:00,6.3,79,9.4
2023-04-07T06:00,6.3,79,7.9
2023-04-07T07:00,6.5,79,4.7
2023-04-07T08:00,7.3,75,3.2
2023-04-07T09:00,8.9,69,5.4
2023-04-07T10:00,10.1,66,7.2
2023-04-07T11:00,10.9,61,4.7
2023-04-07T12:00,11.9,52,4
2023-04-07T13:00,12.2,48,1.1
2023-04-07T14:00,12.8,46,6.8
2023-04-07T15:00,13.6,39,6.8
2023-04-07T16:00,14.9,37,7.9
2023-04-07T17:00,14.9,38,8.6
2023-04-07T18:00,14.2,37,7.6
2023-04-07T19:00,14.3,34,7.6
2023-04-07T20:00,13.5,37,9.4
2023-04-07T21:00,11.7,44,10.1
2023-04-07T22:00,10.2,59,8.3
2023-04-07T23:00,9.1,70,6.8
2023-04-08T00:00,8.3,77,6.5
2023-04-08T01:00,7.4,82,6.5
2023-04-08T02:00,6.8,80,6.8
2023-04-08T03:00,6.2,83,4.7
2023-04-08T04:00,5.6,86,3.2
2023-04-08T05:00,4.6,89,1.1
2023-04-08T06:00,4.2,96,1.1
2023-04-08T07:00,4.4,93,2.9
2023-04-08T08:00,5.6,88,3.2
2023-04-08T09:00,7.4,83,2.9
2023-04-08T10:00,9.9,73,4.7
2023-04-08T11:00,11.3,60,5.8
