Datetime,PJME,hour,day_of_week,month,day_of_year
2022-03-31 00:00:00,5.710927046,0,3,3,90
2022-03-31 01:00:00,5.708191276,1,3,3,90
2022-03-31 02:00:00,5.7841380000000004,2,3,3,90
2022-03-31 03:00:00,5.772970303,3,3,3,90
2022-03-31 04:00:00,5.7532537405,4,3,3,90
2022-03-31 05:00:00,5.7646592860000005,5,3,3,90
2022-03-31 06:00:00,5.864100154,6,3,3,90
2022-03-31 07:00:00,6.0424789484999994,7,3,3,90
2022-03-31 08:00:00,6.1788274565000005,8,3,3,90
2022-03-31 09:00:00,6.204923187,9,3,3,90
2022-03-31 10:00:00,6.218373187,10,3,3,90
2022-03-31 11:00:00,6.18727936,11,3,3,90
2022-03-31 12:00:00,6.1750235885,12,3,3,90
2022-03-31 13:00:00,6.166958731999999,13,3,3,90
2022-03-31 14:00:00,6.1540699515,14,3,3,90
2022-03-31 15:00:00,6.115970149,15,3,3,90
2022-03-31 16:00:00,6.119059495,16,3,3,90
2022-03-31 17:00:00,6.144887950999999,17,3,3,90
2022-03-31 18:00:00,6.1709996575,18,3,3,90
2022-03-31 19:00:00,6.1654968105,19,3,3,90
2022-03-31 20:00:00,6.1699015809999995,20,3,3,90
2022-03-31 21:00:00,6.118822828000001,21,3,3,90
2022-03-31 22:00:00,6.0124837455,22,3,3,90
2022-03-31 23:00:00,5.875071011,23,3,3,90
2022-04-01 00:00:00,5.761957056,0,4,4,91
2022-04-01 01:00:00,5.7418217985,1,4,4,91
2022-04-01 02:00:00,5.8160240210000005,2,4,4,91
2022-04-01 03:00:00,5.7987836965,3,4,4,91
2022-04-01 04:00:00,5.7852625815,4,4,4,91
2022-04-01 05:00:00,5.7881521095,5,4,4,91
2022-04-01 06:00:00,5.881994391,6,4,4,91
2022-04-01 07:00:00,6.0473217585,7,4,4,91
2022-04-01 08:00:00,6.1524644225,8,4,4,91
2022-04-01 09:00:00,6.1611147265,9,4,4,91
2022-04-01 10:00:00,6.1489798195,10,4,4,91
2022-04-01 11:00:00,6.1339439605,11,4,4,91
2022-04-01 12:00:00,6.115049015,12,4,4,91
2022-04-01 13:00:00,6.099010598,13,4,4,91
2022-04-01 14:00:00,6.0691797965,14,4,4,91
2022-04-01 15:00:00,6.048960135,15,4,4,91
2022-04-01 16:00:00,6.075875055999999,16,4,4,91
2022-04-01 17:00:00,6.1032657355,17,4,4,91
2022-04-01 18:00:00,6.1063904925,18,4,4,91
2022-04-01 19:00:00,6.095265442,19,4,4,91
2022-04-01 20:00:00,6.108241096,20,4,4,91
2022-04-01 21:00:00,6.0680128589999995,21,4,4,91
